,54941535b9af654d7e858002dccbeb16ad7432b2,34fedb90659d21a677b78707f892d1729d18cf08,c097f2e9b412a488438ce1013ba39a9a2bb79606,1265de45c56fe1826297f2bf4b29e6565a561d55,4083d711401cf2860570651b449560be8575b403,37c40e060ddad74425de01ecb5a3ac14e63db83a,037db454ca0f3fcc61e44a8139c5f11f375a1949,afe94fd5f814179361c2fc179b46cef1464d7f90
AbsOnNegativeCheck,0,0,0,0,0,0,0,0
AllBranchesAreIdenticalCheck,0,0,0,0,0,0,0,0
ArrayHashCodeAndToStringCheck,0,0,0,0,0,0,0,0
AssertOnBooleanVariableCheck,0,0,0,0,0,0,0,0
BigDecimalDoubleConstructorCheck,0,0,0,0,0,0,0,0
CastArithmeticOperandCheck,0,0,0,0,0,0,0,0
ClassComparedByNameCheck,0,0,0,0,0,0,0,0
ClassWithoutHashCodeInHashStructureCheck,0,0,0,0,0,0,0,0
CollectionCallingItselfCheck,0,0,0,0,0,0,0,0
CollectionInappropriateCallsCheck,0,0,0,0,0,0,0,0
CollectionSizeAndArrayLengthCheck,0,0,0,0,0,0,0,0
CompareStringsBoxedTypesWithEqualsCheck,0,240,0,240,240,240,240,240
CompareToNotOverloadedCheck,0,0,0,0,0,0,0,0
CompareToResultTestCheck,0,0,0,0,0,0,0,0
CompareToReturnValueCheck,0,0,0,0,0,0,0,0
ConditionalUnreachableCodeCheck,0,0,0,0,0,0,0,0
ConfusingOverloadCheck,0,0,0,0,0,0,0,0
ConstructorInjectionCheck,0,0,0,0,0,0,0,0
ControllerWithSessionAttributesCheck,0,0,0,0,0,0,0,0
CustomSerializationMethodCheck,0,0,0,0,0,0,0,0
CustomUnclosedResourcesCheck,0,0,0,0,0,0,0,0
DateFormatWeekYearCheck,0,0,0,0,0,0,0,0
DeadStoreCheck,0,0,0,0,0,0,0,0
DivisionByZeroCheck,0,0,0,0,0,0,0,0
DoubleBraceInitializationCheck,0,0,0,0,0,0,0,0
DoubleCheckedLockingAssignmentCheck,0,0,0,0,0,0,0,0
DoubleCheckedLockingCheck,0,0,0,0,0,0,0,0
DoublePrefixOperatorCheck,0,0,0,0,0,0,0,0
DuplicateConditionIfElseIfCheck,0,0,0,0,0,0,0,0
EqualsArgumentTypeCheck,0,0,0,0,0,0,0,0
EqualsOnAtomicClassCheck,0,0,0,0,0,0,0,0
EqualsOverridenWithHashCodeCheck,0,0,0,0,0,0,0,0
ExternalizableClassConstructorCheck,0,0,0,0,0,0,0,0
FloatEqualityCheck,0,0,0,0,0,0,0,0
ForLoopFalseConditionCheck,0,0,0,0,0,0,0,0
ForLoopIncrementSignCheck,0,0,0,0,0,0,0,0
GetClassLoaderCheck,0,0,0,0,0,0,0,0
GettersSettersOnRightFieldCheck,0,0,0,0,0,0,0,0
HasNextCallingNextCheck,0,0,0,0,0,0,0,0
IdenticalOperandOnBinaryExpressionCheck,0,0,0,0,0,0,0,0
IfConditionAlwaysTrueOrFalseCheck,0,0,0,0,0,0,0,0
IgnoredReturnValueCheck,0,0,0,0,0,0,0,0
IgnoredStreamReturnValueCheck,0,0,0,0,0,0,0,0
ImmediateReverseBoxingCheck,0,0,0,0,0,0,0,0
InappropriateRegexpCheck,0,0,0,0,0,0,0,0
InnerClassOfNonSerializableCheck,0,0,0,0,0,0,0,0
InputStreamReadCheck,0,0,0,0,0,0,0,0
InstanceOfAlwaysTrueCheck,0,0,0,0,0,0,0,0
InterruptedExceptionCheck,0,0,0,0,0,0,0,0
InvalidDateValuesCheck,0,0,0,0,0,0,0,0
IterableIteratorCheck,0,0,0,0,0,0,0,0
IteratorNextExceptionCheck,0,0,0,0,0,0,0,0
LocksNotUnlockedCheck,0,0,0,0,0,0,0,0
LongBitsToDoubleOnIntCheck,0,0,0,0,0,0,0,0
LoopExecutingAtMostOnceCheck,0,0,0,0,0,0,0,0
MathOnFloatCheck,0,0,0,0,0,0,0,0
MethodNamedEqualsCheck,0,0,0,0,0,0,0,0
MethodNamedHashcodeOrEqualCheck,0,0,0,0,0,0,0,0
MinMaxRangeCheck,0,0,0,0,0,0,0,0
NoWayOutLoopCheck,0,0,0,0,0,0,0,0
NonNullSetToNullCheck,0,0,0,0,0,0,0,0
NonSerializableWriteCheck,0,0,0,0,0,0,0,0
NotifyCheck,0,0,0,0,0,0,0,0
NullDereferenceCheck,0,1,0,1,1,1,1,1
NullDereferenceInConditionalCheck,0,0,0,0,0,0,0,0
NullShouldNotBeUsedWithOptionalCheck,0,0,0,0,0,0,0,0
ObjectFinalizeCheck,0,0,0,0,0,0,0,0
ObjectFinalizeOverloadedCheck,0,0,0,0,0,0,0,0
ObjectFinalizeOverridenCallsSuperFinalizeCheck,0,0,0,0,0,0,0,0
ObjectOutputStreamCheck,0,0,0,0,0,0,0,0
OptionalGetBeforeIsPresentCheck,0,0,0,0,0,0,0,0
OverwrittenKeyCheck,0,0,0,0,0,0,0,0
ParameterReassignedToCheck,0,0,0,0,0,0,0,0
PreparedStatementAndResultSetCheck,0,0,0,0,0,0,0,0
PrimitiveWrappersInTernaryOperatorCheck,0,0,0,0,0,0,0,0
PrintfFailCheck,0,0,0,0,0,0,0,0
RawByteBitwiseOperationsCheck,0,0,0,0,0,0,0,0
ReflectionOnNonRuntimeAnnotationCheck,0,0,0,0,0,0,0,0
ReturnInFinallyCheck,0,0,0,0,0,0,0,0
ReuseRandomCheck,0,0,0,0,0,0,0,0
RunFinalizersCheck,0,0,0,0,0,0,0,0
ScheduledThreadPoolExecutorZeroCheck,0,0,0,0,0,0,0,0
SelfAssignementCheck,0,0,0,0,0,0,0,0
SerializableFieldInSerializableClassCheck,0,0,0,0,0,0,0,0
SerializableObjectInSessionCheck,0,0,0,0,0,0,0,0
SerializableSuperConstructorCheck,0,0,0,0,0,0,0,0
ServletInstanceFieldCheck,0,0,0,0,0,0,0,0
ShiftOnIntOrLongCheck,0,0,0,0,0,0,0,0
SillyEqualsCheck,0,0,0,0,0,0,0,0
SillyStringOperationsCheck,0,0,0,0,0,0,0,0
SpringComponentWithWrongScopeCheck,0,0,0,0,0,0,0,0
SpringIncompatibleTransactionalCheck,0,0,0,0,0,0,0,0
SpringScanDefaultPackageCheck,0,0,0,0,0,0,0,0
StaticMultithreadedUnsafeFieldsCheck,0,0,0,0,0,0,0,0
StreamConsumedCheck,0,0,0,0,0,0,0,0
StreamNotConsumedCheck,0,0,0,0,0,0,0,0
StringBufferAndBuilderWithCharCheck,0,0,0,0,0,0,0,0
StringCallsBeyondBoundsCheck,0,0,0,0,0,0,0,0
SymmetricEqualsCheck,0,0,0,0,0,0,0,0
SyncGetterAndSetterCheck,0,0,0,0,0,0,0,0
SynchronizationOnGetClassCheck,0,0,0,0,0,0,0,0
SynchronizationOnStringOrBoxedCheck,0,0,0,0,0,0,0,0
SynchronizedFieldAssignmentCheck,0,0,0,0,0,0,0,0
SynchronizedOverrideCheck,0,0,0,0,0,0,0,0
ThreadLocalCleanupCheck,0,0,0,0,0,0,0,0
ThreadOverridesRunCheck,0,0,0,0,0,0,0,0
ThreadRunCheck,0,0,0,0,0,0,0,0
ThreadSleepCheck,0,0,0,0,0,0,0,0
ThreadWaitCallCheck,0,0,0,0,0,0,0,0
ToArrayCheck,0,0,0,0,0,0,0,0
ToStringReturningNullCheck,0,0,0,0,0,0,0,0
TransactionalMethodVisibilityCheck,0,0,0,0,0,0,0,0
TwoLocksWaitCheck,0,0,0,0,0,0,0,0
UnclosedResourcesCheck,0,0,0,0,0,0,0,0
UnusedReturnedDataCheck,0,0,0,0,0,0,0,0
UnusedThrowableCheck,0,0,0,0,0,0,0,0
UselessIncrementCheck,0,0,0,0,0,0,0,0
ValueBasedObjectUsedForLockCheck,0,0,0,0,0,0,0,0
VolatileNonPrimitiveFieldCheck,0,0,0,0,0,0,0,0
VolatileVariablesOperationsCheck,0,0,0,0,0,0,0,0
WaitInSynchronizeCheck,0,0,0,0,0,0,0,0
WrongAssignmentOperatorCheck,0,0,0,0,0,0,0,0
